name	Chromosome	position	Allele1	Allele1val	Allele2	Allele2val	Mode	Freqal1pop1	Freqal1pop2
chr1_50748	1	50748	S	1	s	0	Hemizygous	0.5	0.5
chr2_30677	2	30677	I	5	i	0	Additive	1	0
chr2_42691	2	42691	I	0.5	i	0	Additive	1	0
chr3_69310	3	69310	I	0	i	10	Additive	1	0
chr3_8514	3	8514	I	0.5	i	0	Additive	1	0
chr4_22544	4	22544	A	0.5	a	0	Additive	1	0
chr4_27453	4	27453	A	0.5	a	0	Additive	1	0
chr5_27231	5	27231	A	0.5	a	0	Additive	1	0
chr5_61583	5	61583	A	0.5	a	0	Additive	1	0
chr6_42967	6	42967	A	0.5	a	0	Additive	1	0
chr6_65165	6	65165	A	0.5	a	0	Additive	1	0
chr7_56774	7	56774	A	0.5	a	0	Additive	1	0
chr7_11351	7	11351	A	0.5	a	0	Additive	1	0
chr8_59592	8	59592	A	0.5	a	0	Additive	1	0
chr8_35805	8	35805	A	0.5	a	0	Additive	1	0
chr9_42881	9	42881	A	0.5	a	0	Additive	1	0
chr9_5191	9	5191	A	0.5	a	0	Additive	1	0
chr10_26418	10	26418	A	0.5	a	0	Additive	1	0
chr10_39879	10	39879	A	0.5	a	0	Additive	1	0
chr11_83613	11	83613	A	0.5	a	0	Additive	1	0
chr11_86472	11	86472	A	0.5	a	0	Additive	1	0
chr12_61535	12	61535	A	0.5	a	0	Additive	1	0
chr12_77511	12	77511	A	0.5	a	0	Additive	1	0
chr13_35557	13	35557	A	0.5	a	0	Additive	1	0
chr13_40585	13	40585	A	0.5	a	0	Additive	1	0
chr14_70664	14	70664	A	0.5	a	0	Additive	1	0
chr14_83828	14	83828	A	0.5	a	0	Additive	1	0
chr15_23959	15	23959	A	0.5	a	0	Additive	1	0
chr15_77077	15	77077	A	0.5	a	0	Additive	1	0
chr16_35590	16	35590	A	0.5	a	0	Additive	1	0
chr16_53560	16	53560	A	0.5	a	0	Additive	1	0
chr17_9309	17	9309	A	0.5	a	0	Additive	1	0
chr17_16981	17	16981	A	0.5	a	0	Additive	1	0
chr18_89983	18	89983	A	0.5	a	0	Additive	1	0
chr18_42264	18	42264	A	0.5	a	0	Additive	1	0
chr19_74774	19	74774	A	0.5	a	0	Additive	1	0
chr19_82265	19	82265	A	0.5	a	0	Additive	1	0
chr20_95465	20	95465	A	0.5	a	0	Additive	1	0
chr20_68544	20	68544	A	0.5	a	0	Additive	1	0
chr21_50050	21	50050	A	0.5	a	0	Additive	1	0
chr21_27549	21	27549	A	0.5	a	0	Additive	1	0
chr22_22891	22	22891	A	0.5	a	0	Additive	1	0
chr22_1444	22	1444	A	0.5	a	0	Additive	1	0
chr23_72896	23	72896	A	0.5	a	0	Additive	1	0
chr23_24988	23	24988	A	0.5	a	0	Additive	1	0
chr24_16119	24	16119	A	0.5	a	0	Additive	1	0
chr24_1705	24	1705	A	0.5	a	0	Additive	1	0
chr25_48610	25	48610	A	0.5	a	0	Additive	1	0
chr25_10290	25	10290	A	0.5	a	0	Additive	1	0
chr26_80154	26	80154	A	0.5	a	0	Additive	1	0
chr26_35433	26	35433	A	0.5	a	0	Additive	1	0
chr27_93643	27	93643	A	0.5	a	0	Additive	1	0
chr27_24587	27	24587	A	0.5	a	0	Additive	1	0
chr28_47314	28	47314	A	0.5	a	0	Additive	1	0
chr28_19156	28	19156	A	0.5	a	0	Additive	1	0
chr29_58322	29	58322	A	0.5	a	0	Additive	1	0
chr29_45947	29	45947	A	0.5	a	0	Additive	1	0
