X2,X3,X4,X5,Generation,Iter
Hybridindex,12.045[8.37663],11.9282[8.31279],12.1561[8.43541],1,0
Pref0,0.60225[0.418832],0.59641[0.41564],0.607805[0.42177],1,0
Signal0,0.60225[0.418832],0.59641[0.41564],0.607805[0.42177],1,0
Hybridindex,15.1395[6.35087],15.1369[6.44052],15.1421[6.25975],2,0
Pref0,0.75475[0.349968],0.754745[0.354139],0.754755[0.345738],2,0
Signal0,0.75475[0.349968],0.754745[0.354139],0.754755[0.345738],2,0
Hybridindex,16.7037[4.13858],16.7551[4.10728],16.6546[4.16773],3,0
Pref0,0.858[0.255609],0.860941[0.251961],0.855186[0.25902],3,0
Signal0,0.858[0.255609],0.860941[0.251961],0.855186[0.25902],3,0
Hybridindex,17.3878[2.79102],17.3385[2.7288],17.4405[2.85517],4,0
Pref0,0.9175[0.192857],0.913926[0.19381],0.921325[0.191757],4,0
Signal0,0.9175[0.192857],0.913926[0.19381],0.921325[0.191757],4,0
Hybridindex,17.59[2.07904],17.5897[2.07828],17.5903[2.07981],5,0
Pref0,0.958[0.141372],0.955401[0.14595],0.960646[0.136502],5,0
Signal0,0.958[0.141372],0.955401[0.14595],0.960646[0.136502],5,0
Hybridindex,17.6968[1.70621],17.6393[1.73784],17.75[1.67461],6,0
Pref0,0.98075[0.0962],0.984407[0.0869088],0.97736[0.103958],6,0
Signal0,0.98075[0.0962],0.984407[0.0869088],0.97736[0.103958],6,0
Hybridindex,17.744[1.53206],17.7547[1.53436],17.7331[1.52963],7,0
Pref0,0.98975[0.0708515],0.993076[0.0584293],0.98635[0.0814785],7,0
Signal0,0.98975[0.0708515],0.993076[0.0584293],0.98635[0.0814785],7,0
Hybridindex,17.6985[1.41151],17.6459[1.41909],17.7515[1.40182],8,0
Pref0,0.99425[0.0533098],0.992032[0.0626145],0.996486[0.0417694],8,0
Signal0,0.99425[0.0533098],0.992032[0.0626145],0.996486[0.0417694],8,0
Hybridindex,17.694[1.35605],17.6987[1.34905],17.6894[1.36291],9,0
Pref0,0.99675[0.0401801],0.995976[0.0446753],0.997515[0.035162],9,0
Signal0,0.99675[0.0401801],0.995976[0.0446753],0.997515[0.035162],9,0
Hybridindex,17.7213[1.33395],17.7358[1.33981],17.707[1.32805],10,0
Pref0,0.9985[0.027345],0.998988[0.0224733],0.998024[0.0313725],10,0
Signal0,0.9985[0.027345],0.998988[0.0224733],0.998024[0.0313725],10,0
Hybridindex,17.717[1.29775],17.6976[1.3241],17.7358[1.27154],11,0
Pref0,0.999[0.0223383],0.998982[0.0225417],0.999018[0.0221403],11,0
Signal0,0.999[0.0223383],0.998982[0.0225417],0.999018[0.0221403],11,0
Hybridindex,17.703[1.33315],17.7365[1.31192],17.6697[1.35314],12,0
Pref0,0.9995[0.0158035],1[0],0.999002[0.022316],12,0
Signal0,0.9995[0.0158035],1[0],0.999002[0.022316],12,0
Hybridindex,17.728[1.27858],17.683[1.24264],17.774[1.31271],13,0
Pref0,0.99925[0.0193504],0.998516[0.0271963],1[0],13,0
Signal0,0.99925[0.0193504],0.998516[0.0271963],1[0],13,0
Hybridindex,17.745[1.22962],17.7654[1.21345],17.725[1.24498],14,0
Pref0,1[0],1[0],1[0],14,0
Signal0,1[0],1[0],1[0],14,0
Hybridindex,17.7075[1.24195],17.7148[1.22904],17.6995[1.25588],15,0
Pref0,1[0],1[0],1[0],15,0
Signal0,1[0],1[0],1[0],15,0
Hybridindex,17.6722[1.25138],17.6495[1.24596],17.6933[1.25603],16,0
Pref0,1[0],1[0],1[0],16,0
Signal0,1[0],1[0],1[0],16,0
Hybridindex,17.7383[1.27038],17.7586[1.30124],17.7173[1.23756],17,0
Pref0,1[0],1[0],1[0],17,0
Signal0,1[0],1[0],1[0],17,0
Hybridindex,17.723[1.27809],17.7849[1.26653],17.6634[1.28632],18,0
Pref0,1[0],1[0],1[0],18,0
Signal0,1[0],1[0],1[0],18,0
Hybridindex,17.7625[1.2315],17.7495[1.19415],17.775[1.26609],19,0
Pref0,1[0],1[0],1[0],19,0
Signal0,1[0],1[0],1[0],19,0
Hybridindex,17.7345[1.2537],17.7136[1.2164],17.7567[1.29176],20,0
Pref0,1[0],1[0],1[0],20,0
Signal0,1[0],1[0],1[0],20,0
Hybridindex,17.7722[1.17729],17.7595[1.15126],17.785[1.20261],21,0
Pref0,1[0],1[0],1[0],21,0
Signal0,1[0],1[0],1[0],21,0
Hybridindex,17.7608[1.20422],17.819[1.20051],17.6967[1.20503],22,0
Pref0,1[0],1[0],1[0],22,0
Signal0,1[0],1[0],1[0],22,0
Hybridindex,17.7688[1.20567],17.762[1.20792],17.7756[1.20338],23,0
Pref0,1[0],1[0],1[0],23,0
Signal0,1[0],1[0],1[0],23,0
Hybridindex,17.7737[1.1935],17.816[1.20116],17.7271[1.18323],24,0
Pref0,1[0],1[0],1[0],24,0
Signal0,1[0],1[0],1[0],24,0
Hybridindex,17.7763[1.16804],17.8365[1.15592],17.7146[1.17713],25,0
Pref0,1[0],1[0],1[0],25,0
Signal0,1[0],1[0],1[0],25,0
Hybridindex,17.7375[1.22478],17.7372[1.18925],17.7378[1.26193],26,0
Pref0,1[0],1[0],1[0],26,0
Signal0,1[0],1[0],1[0],26,0
Hybridindex,17.7635[1.19219],17.81[1.15187],17.7214[1.22601],27,0
Pref0,1[0],1[0],1[0],27,0
Signal0,1[0],1[0],1[0],27,0
Hybridindex,17.7525[1.16372],17.7765[1.1411],17.7294[1.18459],28,0
Pref0,1[0],1[0],1[0],28,0
Signal0,1[0],1[0],1[0],28,0
Hybridindex,17.7598[1.17703],17.7957[1.18767],17.7237[1.16516],29,0
Pref0,1[0],1[0],1[0],29,0
Signal0,1[0],1[0],1[0],29,0
Hybridindex,17.7782[1.16112],17.7642[1.16141],17.7918[1.16068],30,0
Pref0,1[0],1[0],1[0],30,0
Signal0,1[0],1[0],1[0],30,0
Hybridindex,17.7342[1.17697],17.7177[1.18009],17.7505[1.17366],31,0
Pref0,1[0],1[0],1[0],31,0
Signal0,1[0],1[0],1[0],31,0
Hybridindex,17.7462[1.1405],17.7611[1.14032],17.7309[1.14048],32,0
Pref0,1[0],1[0],1[0],32,0
Signal0,1[0],1[0],1[0],32,0
Hybridindex,17.7335[1.15801],17.7315[1.18174],17.7354[1.1344],33,0
Pref0,1[0],1[0],1[0],33,0
Signal0,1[0],1[0],1[0],33,0
Hybridindex,17.7055[1.17931],17.701[1.17001],17.7102[1.18889],34,0
Pref0,1[0],1[0],1[0],34,0
Signal0,1[0],1[0],1[0],34,0
Hybridindex,17.6917[1.17094],17.6965[1.16922],17.6869[1.17268],35,0
Pref0,1[0],1[0],1[0],35,0
Signal0,1[0],1[0],1[0],35,0
Hybridindex,17.7048[1.13146],17.7174[1.12998],17.692[1.13281],36,0
Pref0,1[0],1[0],1[0],36,0
Signal0,1[0],1[0],1[0],36,0
Hybridindex,17.719[1.13866],17.7746[1.12426],17.6671[1.14949],37,0
Pref0,1[0],1[0],1[0],37,0
Signal0,1[0],1[0],1[0],37,0
Hybridindex,17.714[1.14889],17.7332[1.15944],17.6955[1.13832],38,0
Pref0,1[0],1[0],1[0],38,0
Signal0,1[0],1[0],1[0],38,0
Hybridindex,17.6842[1.15398],17.6722[1.15936],17.6968[1.1482],39,0
Pref0,1[0],1[0],1[0],39,0
Signal0,1[0],1[0],1[0],39,0
Hybridindex,17.7108[1.16037],17.7[1.15341],17.7214[1.16712],40,0
Pref0,1[0],1[0],1[0],40,0
Signal0,1[0],1[0],1[0],40,0
Hybridindex,17.7735[1.14726],17.7497[1.15482],17.7965[1.13943],41,0
Pref0,1[0],1[0],1[0],41,0
Signal0,1[0],1[0],1[0],41,0
Hybridindex,17.7647[1.13964],17.7403[1.14137],17.7908[1.13722],42,0
Pref0,1[0],1[0],1[0],42,0
Signal0,1[0],1[0],1[0],42,0
Hybridindex,17.7952[1.12969],17.7829[1.11909],17.8075[1.13995],43,0
Pref0,1[0],1[0],1[0],43,0
Signal0,1[0],1[0],1[0],43,0
Hybridindex,17.7918[1.1487],17.7915[1.1359],17.792[1.16263],44,0
Pref0,1[0],1[0],1[0],44,0
Signal0,1[0],1[0],1[0],44,0
Hybridindex,17.7903[1.12211],17.7689[1.13572],17.813[1.10696],45,0
Pref0,1[0],1[0],1[0],45,0
Signal0,1[0],1[0],1[0],45,0
Hybridindex,17.7495[1.14695],17.7452[1.15698],17.7533[1.13801],46,0
Pref0,1[0],1[0],1[0],46,0
Signal0,1[0],1[0],1[0],46,0
Hybridindex,17.7885[1.15932],17.7871[1.13984],17.7899[1.17885],47,0
Pref0,1[0],1[0],1[0],47,0
Signal0,1[0],1[0],1[0],47,0
Hybridindex,17.775[1.13902],17.7485[1.11842],17.8022[1.1592],48,0
Pref0,1[0],1[0],1[0],48,0
Signal0,1[0],1[0],1[0],48,0
Hybridindex,17.7948[1.12805],17.7991[1.12828],17.7904[1.12781],49,0
Pref0,1[0],1[0],1[0],49,0
Signal0,1[0],1[0],1[0],49,0
Hybridindex,17.809[1.09762],17.8064[1.11581],17.8117[1.07855],50,0
Pref0,1[0],1[0],1[0],50,0
Signal0,1[0],1[0],1[0],50,0
Hybridindex,17.8125[1.1164],17.7829[1.12322],17.8408[1.10908],51,0
Pref0,1[0],1[0],1[0],51,0
Signal0,1[0],1[0],1[0],51,0
Hybridindex,17.7933[1.11932],17.7922[1.14369],17.7944[1.09311],52,0
Pref0,1[0],1[0],1[0],52,0
Signal0,1[0],1[0],1[0],52,0
Hybridindex,17.7985[1.12368],17.7772[1.13157],17.8187[1.11576],53,0
Pref0,1[0],1[0],1[0],53,0
Signal0,1[0],1[0],1[0],53,0
Hybridindex,17.8215[1.10528],17.824[1.09253],17.819[1.11823],54,0
Pref0,1[0],1[0],1[0],54,0
Signal0,1[0],1[0],1[0],54,0
Hybridindex,17.7793[1.12434],17.7741[1.13776],17.7842[1.11138],55,0
Pref0,1[0],1[0],1[0],55,0
Signal0,1[0],1[0],1[0],55,0
Hybridindex,17.768[1.10936],17.7377[1.115],17.7995[1.10257],56,0
Pref0,1[0],1[0],1[0],56,0
Signal0,1[0],1[0],1[0],56,0
Hybridindex,17.733[1.13378],17.7021[1.16023],17.764[1.10572],57,0
Pref0,1[0],1[0],1[0],57,0
Signal0,1[0],1[0],1[0],57,0
Hybridindex,17.7188[1.1591],17.6455[1.165],17.791[1.1487],58,0
Pref0,1[0],1[0],1[0],58,0
Signal0,1[0],1[0],1[0],58,0
Hybridindex,17.6985[1.13186],17.6854[1.14788],17.7114[1.11561],59,0
Pref0,1[0],1[0],1[0],59,0
Signal0,1[0],1[0],1[0],59,0
Hybridindex,17.695[1.14203],17.6845[1.12405],17.7052[1.15908],60,0
Pref0,1[0],1[0],1[0],60,0
Signal0,1[0],1[0],1[0],60,0
Hybridindex,17.7267[1.11443],17.7047[1.15176],17.7492[1.07463],61,0
Pref0,1[0],1[0],1[0],61,0
Signal0,1[0],1[0],1[0],61,0
Hybridindex,17.7632[1.12186],17.7384[1.12744],17.7878[1.11578],62,0
Pref0,1[0],1[0],1[0],62,0
Signal0,1[0],1[0],1[0],62,0
Hybridindex,17.7437[1.11925],17.758[1.13297],17.7294[1.105],63,0
Pref0,1[0],1[0],1[0],63,0
Signal0,1[0],1[0],1[0],63,0
Hybridindex,17.743[1.10971],17.725[1.08299],17.7607[1.13506],64,0
Pref0,1[0],1[0],1[0],64,0
Signal0,1[0],1[0],1[0],64,0
Hybridindex,17.7447[1.11567],17.7294[1.1152],17.7603[1.11593],65,0
Pref0,1[0],1[0],1[0],65,0
Signal0,1[0],1[0],1[0],65,0
Hybridindex,17.746[1.10509],17.7656[1.10007],17.7266[1.1097],66,0
Pref0,1[0],1[0],1[0],66,0
Signal0,1[0],1[0],1[0],66,0
Hybridindex,17.7467[1.08027],17.7579[1.0492],17.7353[1.11133],67,0
Pref0,1[0],1[0],1[0],67,0
Signal0,1[0],1[0],1[0],67,0
Hybridindex,17.773[1.11578],17.791[1.11662],17.7556[1.1147],68,0
Pref0,1[0],1[0],1[0],68,0
Signal0,1[0],1[0],1[0],68,0
Hybridindex,17.7697[1.10323],17.7497[1.13102],17.7897[1.0744],69,0
Pref0,1[0],1[0],1[0],69,0
Signal0,1[0],1[0],1[0],69,0
Hybridindex,17.746[1.09749],17.7155[1.13394],17.7765[1.05891],70,0
Pref0,1[0],1[0],1[0],70,0
Signal0,1[0],1[0],1[0],70,0
Hybridindex,17.7718[1.09967],17.8387[1.08657],17.7059[1.10847],71,0
Pref0,1[0],1[0],1[0],71,0
Signal0,1[0],1[0],1[0],71,0
Hybridindex,17.7703[1.08643],17.7787[1.09457],17.7615[1.07785],72,0
Pref0,1[0],1[0],1[0],72,0
Signal0,1[0],1[0],1[0],72,0
Hybridindex,17.7565[1.08683],17.775[1.0888],17.7384[1.08459],73,0
Pref0,1[0],1[0],1[0],73,0
Signal0,1[0],1[0],1[0],73,0
Hybridindex,17.747[1.09624],17.754[1.09498],17.74[1.09745],74,0
Pref0,1[0],1[0],1[0],74,0
Signal0,1[0],1[0],1[0],74,0
Hybridindex,17.7282[1.08779],17.7155[1.10763],17.7418[1.06614],75,0
Pref0,1[0],1[0],1[0],75,0
Signal0,1[0],1[0],1[0],75,0
Hybridindex,17.7422[1.09815],17.728[1.09568],17.7565[1.10044],76,0
Pref0,1[0],1[0],1[0],76,0
Signal0,1[0],1[0],1[0],76,0
Hybridindex,17.7175[1.07851],17.7578[1.07458],17.6775[1.08093],77,0
Pref0,1[0],1[0],1[0],77,0
Signal0,1[0],1[0],1[0],77,0
Hybridindex,17.6985[1.09103],17.6776[1.09754],17.7183[1.08444],78,0
Pref0,1[0],1[0],1[0],78,0
Signal0,1[0],1[0],1[0],78,0
Hybridindex,17.673[1.08216],17.6654[1.06919],17.6809[1.09541],79,0
Pref0,1[0],1[0],1[0],79,0
Signal0,1[0],1[0],1[0],79,0
Hybridindex,17.6928[1.08188],17.6744[1.0781],17.7109[1.08531],80,0
Pref0,1[0],1[0],1[0],80,0
Signal0,1[0],1[0],1[0],80,0
Hybridindex,17.7188[1.11525],17.7254[1.10611],17.7118[1.12459],81,0
Pref0,1[0],1[0],1[0],81,0
Signal0,1[0],1[0],1[0],81,0
Hybridindex,17.6837[1.09914],17.6875[1.12622],17.6798[1.0695],82,0
Pref0,1[0],1[0],1[0],82,0
Signal0,1[0],1[0],1[0],82,0
Hybridindex,17.6807[1.09463],17.7085[1.09875],17.6526[1.0897],83,0
Pref0,1[0],1[0],1[0],83,0
Signal0,1[0],1[0],1[0],83,0
Hybridindex,17.702[1.09827],17.6936[1.09877],17.7105[1.0977],84,0
Pref0,1[0],1[0],1[0],84,0
Signal0,1[0],1[0],1[0],84,0
Hybridindex,17.6973[1.12081],17.6959[1.1157],17.6985[1.1257],85,0
Pref0,1[0],1[0],1[0],85,0
Signal0,1[0],1[0],1[0],85,0
Hybridindex,17.7102[1.11587],17.7368[1.0866],17.6856[1.14183],86,0
Pref0,1[0],1[0],1[0],86,0
Signal0,1[0],1[0],1[0],86,0
Hybridindex,17.6683[1.10355],17.6324[1.11161],17.7046[1.09409],87,0
Pref0,1[0],1[0],1[0],87,0
Signal0,1[0],1[0],1[0],87,0
Hybridindex,17.6573[1.14843],17.601[1.16198],17.7146[1.13157],88,0
Pref0,1[0],1[0],1[0],88,0
Signal0,1[0],1[0],1[0],88,0
Hybridindex,17.611[1.13101],17.5966[1.11118],17.6256[1.15066],89,0
Pref0,1[0],1[0],1[0],89,0
Signal0,1[0],1[0],1[0],89,0
Hybridindex,17.6472[1.10202],17.624[1.08749],17.6705[1.11588],90,0
Pref0,1[0],1[0],1[0],90,0
Signal0,1[0],1[0],1[0],90,0
Hybridindex,17.6305[1.08304],17.6185[1.08544],17.6426[1.08047],91,0
Pref0,1[0],1[0],1[0],91,0
Signal0,1[0],1[0],1[0],91,0
Hybridindex,17.6408[1.12342],17.644[1.13917],17.6376[1.10787],92,0
Pref0,1[0],1[0],1[0],92,0
Signal0,1[0],1[0],1[0],92,0
Hybridindex,17.6438[1.1123],17.6404[1.11292],17.6473[1.11164],93,0
Pref0,1[0],1[0],1[0],93,0
Signal0,1[0],1[0],1[0],93,0
Hybridindex,17.5912[1.11245],17.6006[1.07643],17.5818[1.14754],94,0
Pref0,1[0],1[0],1[0],94,0
Signal0,1[0],1[0],1[0],94,0
Hybridindex,17.5885[1.12101],17.6006[1.11729],17.5763[1.12462],95,0
Pref0,1[0],1[0],1[0],95,0
Signal0,1[0],1[0],1[0],95,0
Hybridindex,17.6225[1.11781],17.6446[1.10538],17.6001[1.1298],96,0
Pref0,1[0],1[0],1[0],96,0
Signal0,1[0],1[0],1[0],96,0
Hybridindex,17.5678[1.14326],17.5529[1.10511],17.583[1.18086],97,0
Pref0,1[0],1[0],1[0],97,0
Signal0,1[0],1[0],1[0],97,0
Hybridindex,17.5515[1.14896],17.5542[1.12693],17.5487[1.17121],98,0
Pref0,1[0],1[0],1[0],98,0
Signal0,1[0],1[0],1[0],98,0
Hybridindex,17.5538[1.15412],17.5582[1.18041],17.5492[1.12691],99,0
Pref0,1[0],1[0],1[0],99,0
Signal0,1[0],1[0],1[0],99,0
Hybridindex,17.5482[1.12896],17.5738[1.15424],17.5232[1.1031],100,0
Pref0,1[0],1[0],1[0],100,0
Signal0,1[0],1[0],1[0],100,0
Hybridindex,12.51[8.18535],12.7246[8.08867],12.2798[8.2816],1,0_1
Pref0,0.6255[0.409267],0.636232[0.404434],0.61399[0.41408],1,0_1
Signal0,0.6255[0.409267],0.636232[0.404434],0.61399[0.41408],1,0_1
Hybridindex,14.9682[6.19733],14.827[6.20434],15.1087[6.18715],2,0_1
Pref0,0.75375[0.333895],0.745737[0.335607],0.761715[0.331993],2,0_1
Signal0,0.75375[0.333895],0.745737[0.335607],0.761715[0.331993],2,0_1
Hybridindex,16.8358[3.94641],16.833[3.85616],16.8385[4.03359],3,0_1
Pref0,0.86625[0.251468],0.870221[0.246216],0.862326[0.256491],3,0_1
Signal0,0.86625[0.251468],0.870221[0.246216],0.862326[0.256491],3,0_1
Hybridindex,17.4902[2.62574],17.5228[2.52257],17.4599[2.71825],4,0_1
Pref0,0.92925[0.181987],0.939441[0.169359],0.919729[0.192554],4,0_1
Signal0,0.92925[0.181987],0.939441[0.169359],0.919729[0.192554],4,0_1
Hybridindex,17.647[2.00378],17.6118[2.02883],17.6839[1.97649],5,0_1
Pref0,0.96075[0.137239],0.958984[0.14072],0.962602[0.133463],5,0_1
Signal0,0.96075[0.137239],0.958984[0.14072],0.962602[0.133463],5,0_1
Hybridindex,17.6845[1.72582],17.6776[1.74821],17.6911[1.70414],6,0_1
Pref0,0.98[0.0979796],0.979529[0.0990775],0.98045[0.0969173],6,0_1
Signal0,0.98[0.0979796],0.979529[0.0990775],0.98045[0.0969173],6,0_1
Hybridindex,17.6965[1.52459],17.7293[1.50465],17.6635[1.5437],7,0_1
Pref0,0.987[0.0795676],0.989531[0.071587],0.984453[0.0867849],7,0_1
Signal0,0.987[0.0795676],0.989531[0.071587],0.984453[0.0867849],7,0_1
Hybridindex,17.708[1.41941],17.686[1.4261],17.7316[1.41182],8,0_1
Pref0,0.994[0.0544426],0.996135[0.0437885],0.99171[0.0638463],8,0_1
Signal0,0.994[0.0544426],0.996135[0.0437885],0.99171[0.0638463],8,0_1
Hybridindex,17.7413[1.33311],17.7253[1.34336],17.7583[1.32187],9,0_1
Pref0,0.993[0.0587452],0.993702[0.0557634],0.992252[0.0617571],9,0_1
Signal0,0.993[0.0587452],0.993702[0.0557634],0.992252[0.0617571],9,0_1
Hybridindex,17.7512[1.30019],17.7299[1.28231],17.7719[1.31698],10,0_1
Pref0,0.99625[0.0431386],0.994924[0.0501229],0.997537[0.0350066],10,0_1
Signal0,0.99625[0.0431386],0.994924[0.0501229],0.997537[0.0350066],10,0_1
Hybridindex,17.715[1.31045],17.7336[1.34685],17.6967[1.27342],11,0_1
Pref0,0.99825[0.0295286],0.999495[0.015875],0.997027[0.0384419],11,0_1
Signal0,0.99825[0.0295286],0.999495[0.015875],0.997027[0.0384419],11,0_1
Hybridindex,17.7402[1.31953],17.7635[1.30639],17.7162[1.33251],12,0_1
Pref0,0.9975[0.0352668],0.996059[0.0442144],0.998985[0.0225074],12,0_1
Signal0,0.9975[0.0352668],0.996059[0.0442144],0.998985[0.0225074],12,0_1
Hybridindex,17.7413[1.31327],17.7524[1.30498],17.7289[1.32226],13,0_1
Pref0,0.99925[0.0193504],0.999048[0.021801],0.999474[0.0162136],13,0_1
Signal0,0.99925[0.0193504],0.999048[0.021801],0.999474[0.0162136],13,0_1
Hybridindex,17.7515[1.27975],17.7615[1.26888],17.742[1.28992],14,0_1
Pref0,0.9995[0.0158035],1[0],0.999024[0.0220647],14,0_1
Signal0,0.9995[0.0158035],1[0],0.999024[0.0220647],14,0_1
Hybridindex,17.7805[1.25402],17.8132[1.25643],17.7498[1.25097],15,0_1
Pref0,0.99925[0.0193504],0.998968[0.0226921],0.999515[0.0155643],15,0_1
Signal0,0.99925[0.0193504],0.998968[0.0226921],0.999515[0.0155643],15,0_1
Hybridindex,17.7655[1.27965],17.7611[1.25677],17.7699[1.30185],16,0_1
Pref0,0.9995[0.0158035],0.998994[0.0224055],1[0],16,0_1
Signal0,0.9995[0.0158035],0.998994[0.0224055],1[0],16,0_1
Hybridindex,17.7462[1.26846],17.7164[1.27021],17.7755[1.26606],17,0_1
Pref0,1[0],1[0],1[0],17,0_1
Signal0,1[0],1[0],1[0],17,0_1
Hybridindex,17.7685[1.24746],17.7855[1.22713],17.7517[1.26696],18,0_1
Pref0,1[0],1[0],1[0],18,0_1
Signal0,1[0],1[0],1[0],18,0_1
Hybridindex,17.7993[1.2136],17.7664[1.21897],17.8314[1.20746],19,0_1
Pref0,1[0],1[0],1[0],19,0_1
Signal0,1[0],1[0],1[0],19,0_1
Hybridindex,17.792[1.22505],17.814[1.26236],17.769[1.18419],20,0_1
Pref0,1[0],1[0],1[0],20,0_1
Signal0,1[0],1[0],1[0],20,0_1
Hybridindex,17.8188[1.23472],17.8095[1.24334],17.8279[1.22605],21,0_1
Pref0,1[0],1[0],1[0],21,0_1
Signal0,1[0],1[0],1[0],21,0_1
Hybridindex,17.835[1.16352],17.7812[1.19496],17.8892[1.12842],22,0_1
Pref0,1[0],1[0],1[0],22,0_1
Signal0,1[0],1[0],1[0],22,0_1
Hybridindex,17.851[1.16417],17.8365[1.19],17.866[1.13675],23,0_1
Pref0,1[0],1[0],1[0],23,0_1
Signal0,1[0],1[0],1[0],23,0_1
Hybridindex,17.8735[1.18996],17.8912[1.20344],17.857[1.17701],24,0_1
Pref0,1[0],1[0],1[0],24,0_1
Signal0,1[0],1[0],1[0],24,0_1
Hybridindex,17.8833[1.17356],17.8681[1.1675],17.8987[1.17949],25,0_1
Pref0,1[0],1[0],1[0],25,0_1
Signal0,1[0],1[0],1[0],25,0_1
Hybridindex,17.8682[1.15932],17.8524[1.18508],17.884[1.13296],26,0_1
Pref0,1[0],1[0],1[0],26,0_1
Signal0,1[0],1[0],1[0],26,0_1
Hybridindex,17.863[1.15184],17.8642[1.16965],17.8617[1.13215],27,0_1
Pref0,1[0],1[0],1[0],27,0_1
Signal0,1[0],1[0],1[0],27,0_1
Hybridindex,17.8245[1.19277],17.8311[1.16142],17.8176[1.22476],28,0_1
Pref0,1[0],1[0],1[0],28,0_1
Signal0,1[0],1[0],1[0],28,0_1
Hybridindex,17.7982[1.18877],17.7896[1.2447],17.8067[1.13167],29,0_1
Pref0,1[0],1[0],1[0],29,0_1
Signal0,1[0],1[0],1[0],29,0_1
Hybridindex,17.7853[1.17538],17.8063[1.15934],17.7633[1.19151],30,0_1
Pref0,1[0],1[0],1[0],30,0_1
Signal0,1[0],1[0],1[0],30,0_1
Hybridindex,17.754[1.20145],17.7539[1.20171],17.7541[1.20118],31,0_1
Pref0,1[0],1[0],1[0],31,0_1
Signal0,1[0],1[0],1[0],31,0_1
Hybridindex,17.7925[1.18076],17.7759[1.17876],17.8099[1.18261],32,0_1
Pref0,1[0],1[0],1[0],32,0_1
Signal0,1[0],1[0],1[0],32,0_1
Hybridindex,17.774[1.17747],17.7924[1.17548],17.7564[1.17909],33,0_1
Pref0,1[0],1[0],1[0],33,0_1
Signal0,1[0],1[0],1[0],33,0_1
Hybridindex,17.8377[1.15404],17.8161[1.14088],17.8593[1.16659],34,0_1
Pref0,1[0],1[0],1[0],34,0_1
Signal0,1[0],1[0],1[0],34,0_1
Hybridindex,17.8603[1.15351],17.8758[1.17125],17.8448[1.13536],35,0_1
Pref0,1[0],1[0],1[0],35,0_1
Signal0,1[0],1[0],1[0],35,0_1
Hybridindex,17.8798[1.12146],17.8626[1.13946],17.8978[1.10189],36,0_1
Pref0,1[0],1[0],1[0],36,0_1
Signal0,1[0],1[0],1[0],36,0_1
Hybridindex,17.8487[1.11007],17.8747[1.12028],17.8239[1.09963],37,0_1
Pref0,1[0],1[0],1[0],37,0_1
Signal0,1[0],1[0],1[0],37,0_1
Hybridindex,17.8285[1.13483],17.7917[1.11863],17.8666[1.15015],38,0_1
Pref0,1[0],1[0],1[0],38,0_1
Signal0,1[0],1[0],1[0],38,0_1
Hybridindex,17.8092[1.12649],17.7589[1.13204],17.8575[1.11903],39,0_1
Pref0,1[0],1[0],1[0],39,0_1
Signal0,1[0],1[0],1[0],39,0_1
Hybridindex,17.8102[1.13242],17.7636[1.15148],17.8598[1.10967],40,0_1
Pref0,1[0],1[0],1[0],40,0_1
Signal0,1[0],1[0],1[0],40,0_1
Hybridindex,17.7793[1.13936],17.8147[1.14263],17.7432[1.13489],41,0_1
Pref0,1[0],1[0],1[0],41,0_1
Signal0,1[0],1[0],1[0],41,0_1
Hybridindex,17.7785[1.13839],17.7969[1.09815],17.761[1.17512],42,0_1
Pref0,1[0],1[0],1[0],42,0_1
Signal0,1[0],1[0],1[0],42,0_1
Hybridindex,17.7695[1.12733],17.7737[1.10675],17.765[1.14893],43,0_1
Pref0,1[0],1[0],1[0],43,0_1
Signal0,1[0],1[0],1[0],43,0_1
Hybridindex,17.7635[1.13273],17.7483[1.12107],17.7793[1.14449],44,0_1
Pref0,1[0],1[0],1[0],44,0_1
Signal0,1[0],1[0],1[0],44,0_1
Hybridindex,17.7752[1.10413],17.7472[1.12572],17.8027[1.0819],45,0_1
Pref0,1[0],1[0],1[0],45,0_1
Signal0,1[0],1[0],1[0],45,0_1
Hybridindex,17.791[1.09764],17.7924[1.12986],17.7895[1.06264],46,0_1
Pref0,1[0],1[0],1[0],46,0_1
Signal0,1[0],1[0],1[0],46,0_1
Hybridindex,17.7907[1.08448],17.8197[1.04693],17.7609[1.12107],47,0_1
Pref0,1[0],1[0],1[0],47,0_1
Signal0,1[0],1[0],1[0],47,0_1
Hybridindex,17.8163[1.04492],17.7879[1.07558],17.8462[1.01062],48,0_1
Pref0,1[0],1[0],1[0],48,0_1
Signal0,1[0],1[0],1[0],48,0_1
Hybridindex,17.8068[1.13392],17.8373[1.11634],17.7754[1.15088],49,0_1
Pref0,1[0],1[0],1[0],49,0_1
Signal0,1[0],1[0],1[0],49,0_1
Hybridindex,17.7972[1.14522],17.7904[1.1283],17.8036[1.16054],50,0_1
Pref0,1[0],1[0],1[0],50,0_1
Signal0,1[0],1[0],1[0],50,0_1
Hybridindex,17.7967[1.13823],17.7947[1.14875],17.7989[1.12732],51,0_1
Pref0,1[0],1[0],1[0],51,0_1
Signal0,1[0],1[0],1[0],51,0_1
Hybridindex,17.835[1.10636],17.8181[1.12351],17.8526[1.08794],52,0_1
Pref0,1[0],1[0],1[0],52,0_1
Signal0,1[0],1[0],1[0],52,0_1
Hybridindex,17.8328[1.12579],17.8203[1.12239],17.8452[1.12904],53,0_1
